iteration	overlap_count	overlap_percent
1	959	10.1331
2	996	10.5241
3	973	10.2811
4	923	9.7527
5	963	10.1754
6	953	10.0697
7	961	10.1543
8	943	9.9641
9	914	9.6577
10	950	10.0380
11	986	10.4184
12	950	10.0380
13	955	10.0909
14	923	9.7527
15	947	10.0063
16	933	9.8584
17	995	10.5135
18	944	9.9746
19	942	9.9535
20	968	10.2282
21	939	9.9218
22	970	10.2494
23	967	10.2177
24	977	10.3233
25	905	9.5626
26	910	9.6154
27	943	9.9641
28	926	9.7844
29	941	9.9429
30	956	10.1014
31	965	10.1965
32	937	9.9007
33	1009	10.6615
34	955	10.0909
35	956	10.1014
36	902	9.5309
37	975	10.3022
38	975	10.3022
39	913	9.6471
40	955	10.0909
41	907	9.5837
42	978	10.3339
43	957	10.1120
44	920	9.7210
45	919	9.7105
46	969	10.2388
47	1016	10.7354
48	932	9.8478
49	938	9.9112
50	977	10.3233
51	907	9.5837
52	950	10.0380
53	942	9.9535
54	965	10.1965
55	960	10.1437
56	926	9.7844
57	879	9.2878
58	965	10.1965
59	943	9.9641
60	912	9.6365
61	931	9.8373
62	936	9.8901
63	943	9.9641
64	951	10.0486
65	935	9.8795
66	1015	10.7249
67	974	10.2916
68	922	9.7422
69	913	9.6471
70	982	10.3762
71	962	10.1648
72	944	9.9746
73	915	9.6682
74	952	10.0592
75	986	10.4184
76	953	10.0697
77	953	10.0697
78	950	10.0380
79	947	10.0063
80	952	10.0592
81	930	9.8267
82	929	9.8161
83	974	10.2916
84	955	10.0909
85	886	9.3618
86	875	9.2456
87	952	10.0592
88	934	9.8690
89	917	9.6893
90	918	9.6999
91	975	10.3022
92	915	9.6682
93	942	9.9535
94	902	9.5309
95	917	9.6893
96	943	9.9641
97	947	10.0063
98	926	9.7844
99	938	9.9112
100	894	9.4463
101	976	10.3128
102	986	10.4184
103	930	9.8267
104	912	9.6365
105	955	10.0909
106	998	10.5452
107	896	9.4675
108	945	9.9852
109	899	9.4992
110	954	10.0803
111	941	9.9429
112	900	9.5097
113	924	9.7633
114	924	9.7633
115	940	9.9324
116	957	10.1120
117	940	9.9324
118	920	9.7210
119	977	10.3233
120	887	9.3724
121	894	9.4463
122	979	10.3445
123	953	10.0697
124	913	9.6471
125	917	9.6893
126	952	10.0592
127	960	10.1437
128	920	9.7210
129	904	9.5520
130	946	9.9958
131	919	9.7105
132	1004	10.6086
133	928	9.8056
134	926	9.7844
135	919	9.7105
136	955	10.0909
137	940	9.9324
138	927	9.7950
139	950	10.0380
140	927	9.7950
141	978	10.3339
142	927	9.7950
143	959	10.1331
144	928	9.8056
145	954	10.0803
146	925	9.7739
147	956	10.1014
148	932	9.8478
149	898	9.4886
150	962	10.1648
151	954	10.0803
152	966	10.2071
153	896	9.4675
154	875	9.2456
155	966	10.2071
156	963	10.1754
157	979	10.3445
158	951	10.0486
159	907	9.5837
160	936	9.8901
161	968	10.2282
162	893	9.4358
163	977	10.3233
164	980	10.3550
165	890	9.4041
166	934	9.8690
167	961	10.1543
168	975	10.3022
169	943	9.9641
170	923	9.7527
171	1000	10.5664
172	959	10.1331
173	931	9.8373
174	936	9.8901
175	937	9.9007
176	950	10.0380
177	967	10.2177
178	940	9.9324
179	960	10.1437
180	1003	10.5981
181	988	10.4396
182	923	9.7527
183	964	10.1860
184	912	9.6365
185	964	10.1860
186	901	9.5203
187	948	10.0169
188	982	10.3762
189	898	9.4886
190	951	10.0486
191	969	10.2388
192	914	9.6577
193	942	9.9535
194	925	9.7739
195	970	10.2494
196	936	9.8901
197	938	9.9112
198	914	9.6577
199	974	10.2916
200	946	9.9958
201	925	9.7739
202	950	10.0380
203	955	10.0909
204	895	9.4569
205	987	10.4290
206	975	10.3022
207	949	10.0275
208	927	9.7950
209	937	9.9007
210	919	9.7105
211	945	9.9852
212	926	9.7844
213	972	10.2705
214	975	10.3022
215	948	10.0169
216	961	10.1543
217	971	10.2599
218	935	9.8795
219	949	10.0275
220	968	10.2282
221	950	10.0380
222	950	10.0380
223	943	9.9641
224	913	9.6471
225	938	9.9112
226	999	10.5558
227	939	9.9218
228	893	9.4358
229	995	10.5135
230	943	9.9641
231	959	10.1331
232	953	10.0697
233	909	9.6048
234	965	10.1965
235	981	10.3656
236	941	9.9429
237	988	10.4396
238	887	9.3724
239	931	9.8373
240	964	10.1860
241	938	9.9112
242	885	9.3512
243	930	9.8267
244	928	9.8056
245	989	10.4501
246	947	10.0063
247	975	10.3022
248	930	9.8267
249	892	9.4252
250	952	10.0592
251	953	10.0697
252	985	10.4079
253	970	10.2494
254	900	9.5097
255	912	9.6365
256	924	9.7633
257	989	10.4501
258	947	10.0063
259	911	9.6260
260	941	9.9429
261	975	10.3022
262	966	10.2071
263	951	10.0486
264	955	10.0909
265	910	9.6154
266	933	9.8584
267	998	10.5452
268	939	9.9218
269	953	10.0697
270	1011	10.6826
271	939	9.9218
272	986	10.4184
273	956	10.1014
274	942	9.9535
275	974	10.2916
276	894	9.4463
277	945	9.9852
278	894	9.4463
279	905	9.5626
280	968	10.2282
281	911	9.6260
282	900	9.5097
283	955	10.0909
284	928	9.8056
285	901	9.5203
286	942	9.9535
287	921	9.7316
288	944	9.9746
289	969	10.2388
290	926	9.7844
291	922	9.7422
292	936	9.8901
293	952	10.0592
294	919	9.7105
295	955	10.0909
296	948	10.0169
297	932	9.8478
298	918	9.6999
299	949	10.0275
300	939	9.9218
301	929	9.8161
302	904	9.5520
303	943	9.9641
304	960	10.1437
305	947	10.0063
306	960	10.1437
307	916	9.6788
308	946	9.9958
309	889	9.3935
310	935	9.8795
311	940	9.9324
312	965	10.1965
313	991	10.4713
314	942	9.9535
315	918	9.6999
316	912	9.6365
317	934	9.8690
318	921	9.7316
319	906	9.5731
320	868	9.1716
321	983	10.3867
322	964	10.1860
323	961	10.1543
324	935	9.8795
325	952	10.0592
326	961	10.1543
327	1015	10.7249
328	1013	10.7037
329	907	9.5837
330	952	10.0592
331	942	9.9535
332	945	9.9852
333	989	10.4501
334	958	10.1226
335	964	10.1860
336	951	10.0486
337	973	10.2811
338	942	9.9535
339	973	10.2811
340	945	9.9852
341	925	9.7739
342	901	9.5203
343	895	9.4569
344	922	9.7422
345	952	10.0592
346	936	9.8901
347	926	9.7844
348	933	9.8584
349	942	9.9535
350	998	10.5452
351	988	10.4396
352	938	9.9112
353	941	9.9429
354	890	9.4041
355	984	10.3973
356	953	10.0697
357	906	9.5731
358	948	10.0169
359	943	9.9641
360	931	9.8373
361	878	9.2773
362	925	9.7739
363	919	9.7105
364	955	10.0909
365	963	10.1754
366	901	9.5203
367	1004	10.6086
368	941	9.9429
369	935	9.8795
370	941	9.9429
371	946	9.9958
372	904	9.5520
373	979	10.3445
374	933	9.8584
375	986	10.4184
376	928	9.8056
377	967	10.2177
378	962	10.1648
379	945	9.9852
380	918	9.6999
381	932	9.8478
382	945	9.9852
383	926	9.7844
384	944	9.9746
385	924	9.7633
386	1006	10.6298
387	966	10.2071
388	942	9.9535
389	916	9.6788
390	951	10.0486
391	901	9.5203
392	973	10.2811
393	950	10.0380
394	913	9.6471
395	948	10.0169
396	1020	10.7777
397	974	10.2916
398	952	10.0592
399	943	9.9641
400	959	10.1331
401	985	10.4079
402	971	10.2599
403	948	10.0169
404	890	9.4041
405	885	9.3512
406	964	10.1860
407	996	10.5241
408	984	10.3973
409	995	10.5135
410	964	10.1860
411	940	9.9324
412	974	10.2916
413	935	9.8795
414	968	10.2282
415	973	10.2811
416	990	10.4607
417	952	10.0592
418	953	10.0697
419	942	9.9535
420	968	10.2282
421	894	9.4463
422	969	10.2388
423	896	9.4675
424	980	10.3550
425	989	10.4501
426	951	10.0486
427	940	9.9324
428	892	9.4252
429	936	9.8901
430	881	9.3090
431	879	9.2878
432	931	9.8373
433	966	10.2071
434	956	10.1014
435	1003	10.5981
436	921	9.7316
437	937	9.9007
438	978	10.3339
439	952	10.0592
440	940	9.9324
441	919	9.7105
442	924	9.7633
443	957	10.1120
444	966	10.2071
445	928	9.8056
446	926	9.7844
447	995	10.5135
448	932	9.8478
449	945	9.9852
450	943	9.9641
451	921	9.7316
452	925	9.7739
453	953	10.0697
454	991	10.4713
455	977	10.3233
456	941	9.9429
457	927	9.7950
458	948	10.0169
459	923	9.7527
460	967	10.2177
461	915	9.6682
462	988	10.4396
463	958	10.1226
464	960	10.1437
465	929	9.8161
466	940	9.9324
467	975	10.3022
468	862	9.1082
469	953	10.0697
470	1016	10.7354
471	910	9.6154
472	925	9.7739
473	967	10.2177
474	933	9.8584
475	907	9.5837
476	960	10.1437
477	904	9.5520
478	977	10.3233
479	917	9.6893
480	924	9.7633
481	913	9.6471
482	973	10.2811
483	953	10.0697
484	927	9.7950
485	925	9.7739
486	909	9.6048
487	965	10.1965
488	960	10.1437
489	932	9.8478
490	920	9.7210
491	919	9.7105
492	982	10.3762
493	916	9.6788
494	953	10.0697
495	911	9.6260
496	960	10.1437
497	944	9.9746
498	954	10.0803
499	927	9.7950
500	946	9.9958
501	957	10.1120
502	937	9.9007
503	909	9.6048
504	1016	10.7354
505	926	9.7844
506	985	10.4079
507	1000	10.5664
508	913	9.6471
509	968	10.2282
510	941	9.9429
511	912	9.6365
512	949	10.0275
513	947	10.0063
514	968	10.2282
515	977	10.3233
516	895	9.4569
517	1001	10.5769
518	971	10.2599
519	931	9.8373
520	944	9.9746
521	930	9.8267
522	987	10.4290
523	932	9.8478
524	988	10.4396
525	925	9.7739
526	927	9.7950
527	960	10.1437
528	896	9.4675
529	971	10.2599
530	958	10.1226
531	936	9.8901
532	932	9.8478
533	964	10.1860
534	990	10.4607
535	978	10.3339
536	913	9.6471
537	955	10.0909
538	953	10.0697
539	977	10.3233
540	926	9.7844
541	899	9.4992
542	940	9.9324
543	932	9.8478
544	967	10.2177
545	958	10.1226
546	1012	10.6932
547	958	10.1226
548	975	10.3022
549	950	10.0380
550	903	9.5414
551	933	9.8584
552	983	10.3867
553	930	9.8267
554	949	10.0275
555	930	9.8267
556	941	9.9429
557	930	9.8267
558	974	10.2916
559	992	10.4818
560	956	10.1014
561	892	9.4252
562	932	9.8478
563	965	10.1965
564	970	10.2494
565	970	10.2494
566	925	9.7739
567	1011	10.6826
568	915	9.6682
569	893	9.4358
570	949	10.0275
571	936	9.8901
572	966	10.2071
573	924	9.7633
574	952	10.0592
575	948	10.0169
576	993	10.4924
577	975	10.3022
578	952	10.0592
579	914	9.6577
580	884	9.3407
581	893	9.4358
582	937	9.9007
583	933	9.8584
584	938	9.9112
585	955	10.0909
586	982	10.3762
587	934	9.8690
588	952	10.0592
589	980	10.3550
590	946	9.9958
591	944	9.9746
592	993	10.4924
593	985	10.4079
594	947	10.0063
595	930	9.8267
596	971	10.2599
597	1005	10.6192
598	957	10.1120
599	919	9.7105
600	920	9.7210
601	922	9.7422
602	919	9.7105
603	912	9.6365
604	934	9.8690
605	960	10.1437
606	940	9.9324
607	939	9.9218
608	934	9.8690
609	953	10.0697
610	938	9.9112
611	953	10.0697
612	962	10.1648
613	985	10.4079
614	946	9.9958
615	942	9.9535
616	955	10.0909
617	940	9.9324
618	938	9.9112
619	961	10.1543
620	928	9.8056
621	959	10.1331
622	895	9.4569
623	966	10.2071
624	916	9.6788
625	901	9.5203
626	1005	10.6192
627	932	9.8478
628	917	9.6893
629	925	9.7739
630	929	9.8161
631	905	9.5626
632	987	10.4290
633	933	9.8584
634	957	10.1120
635	946	9.9958
636	954	10.0803
637	943	9.9641
638	907	9.5837
639	1016	10.7354
640	953	10.0697
641	957	10.1120
642	936	9.8901
643	976	10.3128
644	916	9.6788
645	948	10.0169
646	965	10.1965
647	906	9.5731
648	921	9.7316
649	968	10.2282
650	961	10.1543
651	997	10.5347
652	921	9.7316
653	978	10.3339
654	968	10.2282
655	933	9.8584
656	931	9.8373
657	939	9.9218
658	935	9.8795
659	953	10.0697
660	925	9.7739
661	927	9.7950
662	917	9.6893
663	973	10.2811
664	905	9.5626
665	963	10.1754
666	917	9.6893
667	996	10.5241
668	906	9.5731
669	934	9.8690
670	998	10.5452
671	940	9.9324
672	936	9.8901
673	922	9.7422
674	937	9.9007
675	933	9.8584
676	933	9.8584
677	916	9.6788
678	921	9.7316
679	912	9.6365
680	916	9.6788
681	953	10.0697
682	917	9.6893
683	977	10.3233
684	930	9.8267
685	892	9.4252
686	898	9.4886
687	941	9.9429
688	946	9.9958
689	942	9.9535
690	973	10.2811
691	961	10.1543
692	982	10.3762
693	948	10.0169
694	972	10.2705
695	966	10.2071
696	965	10.1965
697	959	10.1331
698	933	9.8584
699	917	9.6893
700	979	10.3445
701	963	10.1754
702	966	10.2071
703	928	9.8056
704	910	9.6154
705	932	9.8478
706	977	10.3233
707	937	9.9007
708	942	9.9535
709	938	9.9112
710	972	10.2705
711	989	10.4501
712	893	9.4358
713	949	10.0275
714	930	9.8267
715	925	9.7739
716	922	9.7422
717	935	9.8795
718	949	10.0275
719	980	10.3550
720	943	9.9641
721	932	9.8478
722	931	9.8373
723	966	10.2071
724	952	10.0592
725	952	10.0592
726	958	10.1226
727	945	9.9852
728	905	9.5626
729	963	10.1754
730	935	9.8795
731	944	9.9746
732	935	9.8795
733	948	10.0169
734	933	9.8584
735	974	10.2916
736	947	10.0063
737	935	9.8795
738	977	10.3233
739	949	10.0275
740	913	9.6471
741	924	9.7633
742	919	9.7105
743	954	10.0803
744	959	10.1331
745	946	9.9958
746	937	9.9007
747	955	10.0909
748	919	9.7105
749	1002	10.5875
750	935	9.8795
751	973	10.2811
752	911	9.6260
753	933	9.8584
754	934	9.8690
755	904	9.5520
756	930	9.8267
757	933	9.8584
758	972	10.2705
759	945	9.9852
760	925	9.7739
761	904	9.5520
762	908	9.5943
763	924	9.7633
764	964	10.1860
765	870	9.1927
766	961	10.1543
767	966	10.2071
768	950	10.0380
769	942	9.9535
770	904	9.5520
771	918	9.6999
772	929	9.8161
773	970	10.2494
774	951	10.0486
775	961	10.1543
776	941	9.9429
777	975	10.3022
778	940	9.9324
779	946	9.9958
780	943	9.9641
781	942	9.9535
782	895	9.4569
783	957	10.1120
784	1011	10.6826
785	929	9.8161
786	961	10.1543
787	968	10.2282
788	925	9.7739
789	925	9.7739
790	967	10.2177
791	978	10.3339
792	950	10.0380
793	956	10.1014
794	933	9.8584
795	902	9.5309
796	926	9.7844
797	971	10.2599
798	944	9.9746
799	950	10.0380
800	975	10.3022
801	933	9.8584
802	955	10.0909
803	923	9.7527
804	909	9.6048
805	951	10.0486
806	958	10.1226
807	932	9.8478
808	934	9.8690
809	958	10.1226
810	951	10.0486
811	961	10.1543
812	958	10.1226
813	943	9.9641
814	921	9.7316
815	915	9.6682
816	940	9.9324
817	984	10.3973
818	951	10.0486
819	941	9.9429
820	950	10.0380
821	986	10.4184
822	925	9.7739
823	941	9.9429
824	936	9.8901
825	916	9.6788
826	955	10.0909
827	932	9.8478
828	971	10.2599
829	927	9.7950
830	960	10.1437
831	967	10.2177
832	945	9.9852
833	934	9.8690
834	933	9.8584
835	994	10.5030
836	940	9.9324
837	1004	10.6086
838	912	9.6365
839	906	9.5731
840	950	10.0380
841	923	9.7527
842	914	9.6577
843	1013	10.7037
844	973	10.2811
845	885	9.3512
846	968	10.2282
847	892	9.4252
848	965	10.1965
849	934	9.8690
850	917	9.6893
851	1008	10.6509
852	923	9.7527
853	945	9.9852
854	955	10.0909
855	937	9.9007
856	960	10.1437
857	917	9.6893
858	912	9.6365
859	967	10.2177
860	942	9.9535
861	947	10.0063
862	935	9.8795
863	983	10.3867
864	939	9.9218
865	950	10.0380
866	921	9.7316
867	956	10.1014
868	979	10.3445
869	946	9.9958
870	973	10.2811
871	949	10.0275
872	949	10.0275
873	926	9.7844
874	953	10.0697
875	952	10.0592
876	922	9.7422
877	935	9.8795
878	948	10.0169
879	969	10.2388
880	953	10.0697
881	987	10.4290
882	906	9.5731
883	980	10.3550
884	936	9.8901
885	986	10.4184
886	954	10.0803
887	912	9.6365
888	931	9.8373
889	892	9.4252
890	955	10.0909
891	982	10.3762
892	955	10.0909
893	965	10.1965
894	946	9.9958
895	932	9.8478
896	940	9.9324
897	951	10.0486
898	975	10.3022
899	949	10.0275
900	918	9.6999
901	939	9.9218
902	913	9.6471
903	945	9.9852
904	971	10.2599
905	958	10.1226
906	994	10.5030
907	994	10.5030
908	988	10.4396
909	942	9.9535
910	951	10.0486
911	914	9.6577
912	923	9.7527
913	956	10.1014
914	980	10.3550
915	917	9.6893
916	904	9.5520
917	919	9.7105
918	912	9.6365
919	918	9.6999
920	927	9.7950
921	935	9.8795
922	947	10.0063
923	928	9.8056
924	973	10.2811
925	974	10.2916
926	921	9.7316
927	927	9.7950
928	971	10.2599
929	959	10.1331
930	958	10.1226
931	1021	10.7883
932	920	9.7210
933	938	9.9112
934	957	10.1120
935	952	10.0592
936	984	10.3973
